komentar,clean,sentimen
"Scene favorit ku ketika hantu samurai membaca mantra dan berubah menjadi api, keren banget",scene favorit ku hantu samurai membaca mantra berubah api keren banget,2
"gila ini film cerita nya mind blowing bgt kok bisa kepikiran bikin pasak besi dalem tubuhnya samurai, udah 3 kali nonton masih ketagihan",gila film cerita nya mind blowing bgt kepikiran bikin pasak besi dalem tubuhnya samurai udah kali nonton ketagihan,1
"baru nonton exhuma ini karna ditayangin di tv nasional liburan kemaren, ga sengaja nontonnya, eh keterusan seneng sampe pengen nonton lagi. kerennn bgtt!",nonton exhuma karna ditayangin tv nasional liburan kemaren tidak sentidakja nontonnya eh keterusan seneng sampe pengen nonton kerennn bgtt,2
"kirain parasite udah film pol korea terbaik, ternyata ini film jauh lebih keren, mana nontotnya di tv lagi banyak iklannya, abis ini donlod dulu dah, mau nonton ulang",kirain parasite udah film pol korea terbaik film keren nontotnya tv iklannya abis donlod dah nonton ulang,2
"Knp demit jendralnya bisa gede? Ya karna orang dulu gede2, apalagi jendral perang 😂",knp demit jendralnya gede ya karna orang gede jendral perang,1
"Horor tuh ya kek gini (show don't tell) bikin perasaan unsetling, mencekam, getir, dan berujung menghasilkan banyak teori yang masih bisa dikulik membuktikan memang kualitas yang over the top.",horor tuh ya kek gini show dont tell bikin perasaan unsetling mencekam getir berujung menghasilkan teori dikulik membuktikan kualitas over the top,2
"Rekomendasiin film horor korea yg lain dong bang,, yg bagus2, selain wailing sama gonjiam,,",rekomendasiin film horor korea yg bang yg bagus wailing gonjiam,2
"Menurut saya, jendral jepang ini sudah berukuran besar sewaktu hidup. 
Bisa dilihat diadegan flashback, ada adegan sijedral memegang musuh, ukurannya sudah sangat besar, lalu dilihat dari ukuran pedangnya yang lebih panjang. 

Terus di jendral ini meninggal di jepang, pada pertempuran Sekigahara (ada di doalog jendran vs hwarin)
Tapi si rubah malah menguburkannya di korea.",jendral jepang berukuran hidup diadetidakn flashback adetidakn sijedral memetidakng musuh ukurannya santidakt ukuran pedangnya jendral meningtidakl jepang pertempuran sekitidakhara doalog jendran vs hwarintapi si rubah menguburkannya korea,1
"Nonton separuh film ini di pesawat cathay dari jepang, tengah film ehh ada turbulensi kumatikan deh filmnya😅😂 🤣 tapi masih penasaran, thank you untuk review nya kak 🎉🎉🎉",nonton separuh film pesawat cathay jepang tentidakh film ehh turbulensi kumatikan deh filmnya penasaran thank you review nya kak,1
Ini penjelasan film yg paling jelas&detail bahkan sampe history backgroundnya pun dikasih tau. Mantaap,penjelasan film yg jelasdetail sampe history backgroundnya dikasih tau mantaap,1
"terima kasih penjelasannya, Bang! Jadi makin kagum sama filmnya!",terima kasih penjelasannya bang kagum filmnya,1
"W pribadi kurang bisa menikmati film ini tanpa tau sejarah atau folk Asia Timur (Korea-Jepang) terlebih dulu. Gw merasa clueless & waste my money waktu nonton karena ketidaktahuan itu, kek tau gitu w belajar dulu 😅.
Mungkin waktu itu harusnya bacain spoiler2nya dulu, atau mungkin karena telat 15 mnt nontonnya jadi kurang dapet intronya",w pribadi menikmati film tau sejarah folk asia timur koreajepang gw clueless waste my money nonton ketidaktahuan kek tau gitu w belajar bacain spoilernya telat mnt nontonnya dapet intronya,1
"Terus kepala jenderal yg dikubur, yg ditemukan sangdeok pas ngegali, maksudnya gimana ya? Kan jasad panglima seharusnya ada di dalam peti, dan petinya sdh kebuka di kuil yg akhirnya bikin si genderuwo bangkit. Tapi knpa di kuburan itu sangdeok masih menemukan kepala?",kepala jenderal yg dikubur yg ditemukan sangdeok pas ngetidakli maksudnya gimana ya jasad panglima peti petinya sdh kebuka kuil yg bikin si genderuwo bangkit knpa kuburan sangdeok menemukan kepala,1
"Belum nonton baik bioskop apa streaming, cuma liat short tertarik sama adegan ciwi dukun joget2 ikonik bawa pisau sambil goyang2 pundaknya. Mungkin itu adegan terbaik dari keseluruhan film. Pengen kaget kaya film indo, tp selalu fokus sama totalitas aktingnya aktor/tris...",nonton bioskop streaming liat short tertarik adetidakn ciwi dukun joget ikonik bawa pisau goyang pundaknya adetidakn terbaik film pengen kaget kaya film indo tp fokus totalitas aktingnya aktortris,1
"saran lagi dong horror Korea yg modelannya kayak The Wailing dan Exhuma, gak ada jumpscare tapi bikin merinding",saran horror korea yg modelannya kayak the wailing exhuma tidakk jumpscare bikin merinding,1
"FYI kegiatan ekshumasi di indonesia jg ada sebenarnya, biasanya dilakukan oleh kalangan Tionghoa yg makam keluarga atau leluhurnya kena gusuran atau gak keurus biasanya digali dan dipindah/dikremasi 😂",fyi kegiatan ekshumasi indonesia jg kalantidakn tionghoa yg makam keluartidak leluhurnya kena gusuran tidakk keurus ditidakli dipindahdikremasi,1
"Bang gua ga minta makna tersirat dari filmnya, sesuaiin sama judul. Jelasin alur cerita!",bang gua tidak makna tersirat filmnya sesuaiin judul jelasin alur cerita,1
"masih g paham gmn jendral tienpeng itu kok mau jadi eksperimen ritual dukun? apa dia uda mati? atau karena si jendral itu kalah, maka itu hukuman untuk si jendral?",g paham gmn jendral tienpeng eksperimen ritual dukun uda mati si jendral kalah hukuman si jendral,1
"Fun fact kalo sebenernya di Indonesia juga ada loh hal kek gini, peti mati yang ditanam vertikal di beberapa wilayah oleh tentara jepang untuk mengutuk tanah tersebut, karena salah satu kebiasaan penjajahan jepang, selain menjajah,mereka juga bakal mengutuk tanah yg mereka jajah dengan cara itu tadi, dan salah satu nya udah ketemu di Kalimantan, perbatasan Indonesia sama Malaysia, katanya, hal ini lah yang membuat Indonesia sama Malaysia sering banget konflik walau satu rumpun, gw tau ini dri vidio teman cerita hirotada radifan yang terbaru, kalian coba tonton deh, seru juga",fun fact kalo sebenernya indonesia jutidak loh kek gini peti mati ditanam vertikal wilayah tentara jepang mengutuk tanah salah kebiasaan penjajahan jepang menjajahmereka jutidak mengutuk tanah yg jajah dentidakn salah nya udah ketemu kalimantan perbatasan indonesia malaysia indonesia malaysia banget konflik rumpun gw tau dri vidio teman cerita hirotada radifan terbaru coba tonton deh seru jutidak,1
